,Degree Distribution,Average Path Length,Diameter,Information Centrality,Closeness Centrality,Harmonic Centrality,Assortativity,Network Type
99,6.932773109243698,3.9716609839450845,7,0.001772954656367693,0.2526414178828843,379.2232459650494,-0.001456877321566394,Erdos-Renyi
100,567.0803167420814,1.6790716939773167,2,0.16021994238862905,0.5955929306063766,1167.0401583710407,-0.0013619064223272914,Gilbert
101,1282.497807017544,1.2964905062986594,2,0.351804939190923,0.7713658450757722,1552.748903508772,-0.0011502139044637083,Gilbert
102,660.578947368421,1.6589680189115017,2,0.17030026813487564,0.6028108810989264,1298.7894736842106,-0.001475793416177826,Gilbert
103,793.6146953405018,1.288237941398653,2,0.3559680262431468,0.7763448442244225,954.3073476702509,-0.0008506770571688357,Gilbert
104,527.4774566473989,1.6949233911813772,2,0.15227979279548093,0.5900214216119193,1128.2387283236994,-0.002921548391932594,Gilbert
105,1091.5710455764074,1.2678933295932882,2,0.3661422892554773,0.7887736558967212,1291.2855227882037,-0.0019086768400935665,Gilbert
106,752.865692414753,1.475720269906161,2,0.2620251516078169,0.6776921416350602,1094.4328462073765,-0.0024406198774361986,Gilbert
107,22.38568935427574,2.6136948718534945,4,0.008999738862906453,0.3828684693339773,462.92233856893085,0.004733104008745634,Gilbert
108,1356.7571721311476,1.304583714950719,2,0.34774774135330555,0.7665784939972663,1653.8785860655737,-0.0004885315928587549,Gilbert
109,61.98580786026201,2.084750977226275,3,0.016474837593320763,0.47982241528892294,910.2987627365383,0.0005064666134583399,Gilbert
110,212.27403482210445,1.8391863372559816,2,0.07991546613024883,0.5437347981483106,766.1370174110523,0.0010353617475725887,Gilbert
111,668.7836411609499,1.558558652699043,2,0.22053917203143805,0.6416628042862543,1091.891820580475,-0.0008342178295658783,Gilbert
112,1507.7286549707603,1.1177714131241894,2,0.44131302754835977,0.8946792016279308,1608.36432748538,-0.000817282759873802,Gilbert
113,488.0727630285152,1.5196134222160282,2,0.23998547924723612,0.658130732697325,752.0363815142576,-0.002934653057320888,Gilbert
114,915.5521557719054,1.3628725429562245,2,0.3185619912249856,0.7338096171109219,1176.2760778859526,-0.0018473599198052884,Gilbert
115,416.5335968379447,1.5879984205361577,2,0.2056937907194731,0.6297837901280371,713.7667984189724,-0.0007827555425087688,Gilbert
116,680.8554112554112,1.4100039763817926,2,0.29494552459703216,0.7092906366401341,917.4277056277057,-0.0012468856771077658,Gilbert
117,660.8096774193548,1.4666588559972924,2,0.2665456320119711,0.6818900423261605,949.9048387096774,-0.002913027585679827,Gilbert
118,1146.954480796586,1.1836622912479815,2,0.40834166223295737,0.8449039730988231,1275.9772403982931,-0.002259150860927326,Gilbert
119,397.72727272727275,1.6149784387925723,2,0.19218429043724083,0.6192554503188087,715.3636363636364,-0.0036022539145235074,Gilbert
